,Sample_1,Sample_2
GAPDH,62984.16975412597,30013.64256480218
ACTB,48501.178848097006,64802.182810368344
RPL13A,51532.50252610307,31718.963165075034
RPS18,28965.981812057933,34447.476125511595
EEF1A1,35028.62916807006,60027.28512960436
PPIA,30986.864264061976,37175.98908594815
HSP90AB1,29639.60929605928,24556.616643929057
LDHA,26271.471876052543,33765.34788540245
PKM,30650.0505220613,39222.37380627558
ENO1,34355.00168406871,32401.091405184172
TUBA1A,33681.37420006737,27626.19372442019
TUBB,25261.030650050525,31718.963165075034
VIM,31660.491748063323,29331.514324693042
HSPA8,25597.844392051196,28649.3860845839
ATP5F1B,25261.030650050525,27967.25784447476
CCT2,31323.678006062648,35811.73260572988
EIF4A1,30650.0505220613,33765.34788540245
HNRNPA1,27955.54058605591,29672.57844474761
NPM1,34355.00168406871,33765.34788540245
NCL,30650.0505220613,31718.963165075034
RAN,29302.795554058608,28308.32196452933
YWHAZ,28965.981812057933,34447.476125511595
CALM1,34691.815426069385,28990.45020463847
UBC,30986.864264061976,29672.57844474761
RACK1,28965.981812057933,33424.283765347885
DDX5,31323.678006062648,28990.45020463847
PTBP1,29976.423038059955,26261.93724420191
SFPQ,38396.766588076796,30013.64256480218
HNRNPK,31997.305490063995,31036.834924965893
FUS,40080.835298080165,30695.77080491132
